0.000000,125.000000,-6.000000,6.000000,-6.000000,0.000000,179.989471
10.000000,125.000000,2174.000000,-2316.000000,1220.000000,-1263.000000,179.989479
20.000000,125.000000,8076.000000,-8297.000000,6727.000000,-6887.000000,179.989695
30.000000,125.000000,10626.000000,-10466.000000,9961.000000,-10349.000000,179.993635
40.000000,125.000000,9129.000000,-8069.000000,8371.000000,-8433.000000,179.680196
50.000000,125.000000,6141.000000,-6357.000000,7041.000000,-5445.000000,178.103965
60.000000,125.000000,8211.000000,-7534.000000,8920.000000,-7669.000000,175.943709
70.000000,125.000000,10096.000000,-8267.000000,9123.000000,-8260.000000,173.467533
80.000000,125.000000,9147.000000,-8193.000000,8365.000000,-8655.000000,170.401165
90.000000,125.000000,9301.000000,-9018.000000,9560.000000,-9135.000000,166.843840
100.000000,125.000000,10361.000000,-8846.000000,10078.000000,-9579.000000,162.896831
110.000000,125.000000,10564.000000,-9277.000000,10256.000000,-9640.000000,158.537499
120.000000,125.000000,10626.000000,-9345.000000,10342.000000,-9653.000000,153.824125
130.000000,125.000000,10749.000000,-10275.000000,10509.000000,-10195.000000,145.924235
140.000000,125.000000,10989.000000,-10207.000000,10700.000000,-9844.000000,140.286393
150.000000,125.000000,10891.000000,-10262.000000,10718.000000,-10564.000000,134.317103
160.000000,125.000000,10965.000000,-10330.000000,10737.000000,-10607.000000,128.021131
170.000000,121.448316,11076.000000,-10724.000000,10854.000000,-10595.000000,121.448316
180.000000,114.568709,11125.000000,-10866.000000,10977.000000,-10792.000000,114.568709
190.000000,107.468536,11205.000000,-11002.000000,11051.000000,-10940.000000,107.468536
200.000000,100.162507,11254.000000,-11039.000000,11094.000000,-10940.000000,100.162507
210.000000,92.574090,11285.000000,-11076.000000,11131.000000,-11002.000000,92.574090
220.000000,84.748660,11310.000000,-11112.000000,11174.000000,-11051.000000,84.748660
230.000000,76.756216,11390.000000,-11149.000000,11217.000000,-11076.000000,76.756216
240.000000,68.610661,11457.000000,-11217.000000,11303.000000,-11143.000000,68.610661
250.000000,60.316273,11550.000000,-11242.000000,11396.000000,-11193.000000,60.316273
260.000000,51.889515,11556.000000,-11285.000000,11427.000000,-11242.000000,51.889515
270.000000,43.302265,11556.000000,-11279.000000,11451.000000,-11223.000000,43.302265
280.000000,34.657590,11605.000000,-11273.000000,11470.000000,-11205.000000,34.657590
290.000000,25.939505,11648.000000,-11347.000000,11519.000000,-11266.000000,25.939505
300.000000,17.113941,11673.000000,-11402.000000,11531.000000,-11285.000000,17.113941
310.000000,8.239881,11661.000000,-11396.000000,11550.000000,-11285.000000,8.239881
320.000000,-0.776966,9265.000000,-8020.000000,9061.000000,-6979.000000,-0.776966
330.000000,-9.801432,2094.000000,-1731.000000,1897.000000,-1312.000000,-9.801432
340.000000,-18.605621,-4983.000000,5131.000000,-3844.000000,3881.000000,-18.605621
350.000000,-26.956298,-5002.000000,7681.000000,-2581.000000,6493.000000,-26.956298
360.000000,-33.831444,-7047.000000,5950.000000,-6751.000000,7392.000000,-33.831444
370.000000,-38.607431,-7201.000000,5575.000000,-7694.000000,4799.000000,-38.607431
380.000000,-41.116159,-5649.000000,5587.000000,-6634.000000,6037.000000,-41.116159
390.000000,-41.824547,-5612.000000,5593.000000,-5729.000000,6037.000000,-41.824547
400.000000,-41.045908,-6942.000000,6425.000000,-5495.000000,6911.000000,-41.045908
410.000000,-39.513186,-7817.000000,8371.000000,-6314.000000,7145.000000,-39.513186
420.000000,-37.685931,-8833.000000,8433.000000,-9419.000000,8722.000000,-37.685931
430.000000,-35.791341,-10312.000000,8827.000000,-10416.000000,9523.000000,-35.791341
440.000000,-33.511935,-10712.000000,9061.000000,-10416.000000,8445.000000,-33.511935
450.000000,-30.443960,-10170.000000,8883.000000,-8766.000000,9006.000000,-30.443960
460.000000,-26.663847,-8088.000000,9585.000000,-8242.000000,8753.000000,-26.663847
470.000000,-24.623313,-9246.000000,9911.000000,-10028.000000,9363.000000,-24.623313
480.000000,-20.309023,-10478.000000,9936.000000,-10318.000000,9942.000000,-20.309023
490.000000,-15.569142,-10577.000000,9930.000000,-10195.000000,9911.000000,-15.569142
500.000000,-10.392842,-10496.000000,10275.000000,-10281.000000,10281.000000,-10.392842
510.000000,-4.811426,-5254.000000,6332.000000,-7096.000000,6104.000000,-4.811426
520.000000,0.986912,-4503.000000,4515.000000,-5242.000000,4521.000000,0.986912
530.000000,6.750925,-942.000000,942.000000,-1010.000000,1639.000000,6.750925
540.000000,12.433339,3979.000000,-4509.000000,3979.000000,-2020.000000,12.433339
550.000000,17.944575,7632.000000,-8531.000000,6899.000000,-5950.000000,17.944575
560.000000,22.652308,7774.000000,-5433.000000,5550.000000,-9067.000000,22.652308
570.000000,25.545770,5655.000000,-5347.000000,5914.000000,-5211.000000,25.545770
580.000000,26.838764,6610.000000,-5279.000000,7207.000000,-5347.000000,26.838764
590.000000,26.729279,7755.000000,-5661.000000,5230.000000,-5304.000000,26.729279
600.000000,25.588946,7293.000000,-5501.000000,7158.000000,-5938.000000,25.588946
610.000000,23.778633,8131.000000,-6640.000000,8304.000000,-6659.000000,23.778633
620.000000,21.545477,9012.000000,-8322.000000,8439.000000,-8297.000000,21.545477
630.000000,18.797752,8291.000000,-8377.000000,9628.000000,-8236.000000,18.797752
640.000000,15.412768,9961.000000,-8513.000000,9671.000000,-8667.000000,15.412768
650.000000,11.682343,10367.000000,-8599.000000,10010.000000,-8507.000000,11.682343
660.000000,7.380440,4571.000000,-2994.000000,5907.000000,-4404.000000,7.380440
